num_grid,GPU(ave),GPU(SD),CPU(ave),CPU(SD)
150,0.2546,8.77268488,0.0068,0.734846923
648,0.257,12.77106104,0.025,1.843908891
1815,0.2628,11.81270502,0.0858,1.984943324
19845,0.2958,11.79576195,2.374,1.224744871
257193,1.4232,6.748333128,100.3818,17.75218296
600831,4.1326,11.5913761,349.1598,22.67686045
