num_grid,GPU(ave),GPU(SD),CPU(ave),CPU(SD)
150,0.2554,0.008840814,0.0078,0.000734847
648,0.2612,0.013466254,0.0284,0.001886796
1815,0.2816,0.012068968,0.1014,0.002204541
19845,0.8738,0.011128342,2.8578,0.002130728
257193,27.7642,0.487028069,123.6342,0.065021074
600831,93.0308,0.06541055,428.239,0.075247591
