state_id, state_icp_x, state_icp_y, state_swft_x, state_swft_y, input_id, input_swft_x, input_swft_y
462641,-0.030000, 0.051962,0.107246, 0.089990,82,-0.017173, 0.088346,
462641,-0.030000, 0.051962,0.107246, 0.089990,83,-0.018712, 0.088033,
462641,-0.030000, 0.051962,0.107246, 0.089990,84,-0.020246, 0.087693,
462641,-0.030000, 0.051962,0.107246, 0.089990,85,-0.021773, 0.087327,
462641,-0.030000, 0.051962,0.107246, 0.089990,86,-0.023294, 0.086933,
462641,-0.030000, 0.051962,0.107246, 0.089990,87,-0.024807, 0.086514,
462641,-0.030000, 0.051962,0.107246, 0.089990,88,-0.026313, 0.086067,
462641,-0.030000, 0.051962,0.107246, 0.089990,89,-0.027812, 0.085595,
462641,-0.030000, 0.051962,0.107246, 0.089990,90,-0.029301, 0.085097,
462641,-0.030000, 0.051962,0.107246, 0.089990,91,-0.030782, 0.084572,
462641,-0.030000, 0.051962,0.107246, 0.089990,92,-0.032253, 0.084022,
462641,-0.030000, 0.051962,0.107246, 0.089990,93,-0.033715, 0.083447,
462641,-0.030000, 0.051962,0.107246, 0.089990,94,-0.035166, 0.082845,
462641,-0.030000, 0.051962,0.107246, 0.089990,95,-0.036606, 0.082219,
462641,-0.030000, 0.051962,0.107246, 0.089990,96,-0.038036, 0.081568,
462641,-0.030000, 0.051962,0.107246, 0.089990,97,-0.039453, 0.080891,
462641,-0.030000, 0.051962,0.107246, 0.089990,98,-0.040859, 0.080191,
462641,-0.030000, 0.051962,0.107246, 0.089990,99,-0.042252, 0.079465,
462641,-0.030000, 0.051962,0.107246, 0.089990,100,-0.043633, 0.078716,
462641,-0.030000, 0.051962,0.107246, 0.089990,101,-0.045000, 0.077942,
462641,-0.030000, 0.051962,0.107246, 0.089990,102,-0.046353, 0.077145,
462641,-0.030000, 0.051962,0.107246, 0.089990,103,-0.047693, 0.076324,
462641,-0.030000, 0.051962,0.107246, 0.089990,104,-0.049018, 0.075480,
462641,-0.030000, 0.051962,0.107246, 0.089990,105,-0.050327, 0.074613,
462641,-0.030000, 0.051962,0.107246, 0.089990,106,-0.051622, 0.073724,
462641,-0.030000, 0.051962,0.107246, 0.089990,222,-0.017365, 0.098481,
462641,-0.030000, 0.051962,0.107246, 0.089990,223,-0.019081, 0.098163,
462641,-0.030000, 0.051962,0.107246, 0.089990,224,-0.020791, 0.097815,
462641,-0.030000, 0.051962,0.107246, 0.089990,225,-0.022495, 0.097437,
462641,-0.030000, 0.051962,0.107246, 0.089990,226,-0.024192, 0.097030,
462641,-0.030000, 0.051962,0.107246, 0.089990,227,-0.025882, 0.096593,
462641,-0.030000, 0.051962,0.107246, 0.089990,228,-0.027564, 0.096126,
462641,-0.030000, 0.051962,0.107246, 0.089990,229,-0.029237, 0.095630,
462641,-0.030000, 0.051962,0.107246, 0.089990,230,-0.030902, 0.095106,
462641,-0.030000, 0.051962,0.107246, 0.089990,231,-0.032557, 0.094552,
462641,-0.030000, 0.051962,0.107246, 0.089990,232,-0.034202, 0.093969,
462641,-0.030000, 0.051962,0.107246, 0.089990,233,-0.035837, 0.093358,
462641,-0.030000, 0.051962,0.107246, 0.089990,234,-0.037461, 0.092718,
462641,-0.030000, 0.051962,0.107246, 0.089990,235,-0.039073, 0.092050,
462641,-0.030000, 0.051962,0.107246, 0.089990,236,-0.040674, 0.091355,
462641,-0.030000, 0.051962,0.107246, 0.089990,237,-0.042262, 0.090631,
462641,-0.030000, 0.051962,0.107246, 0.089990,238,-0.043837, 0.089879,
462641,-0.030000, 0.051962,0.107246, 0.089990,239,-0.045399, 0.089101,
462641,-0.030000, 0.051962,0.107246, 0.089990,240,-0.046947, 0.088295,
462641,-0.030000, 0.051962,0.107246, 0.089990,241,-0.048481, 0.087462,
462641,-0.030000, 0.051962,0.107246, 0.089990,242,-0.050000, 0.086603,
462641,-0.030000, 0.051962,0.107246, 0.089990,243,-0.051504, 0.085717,
462641,-0.030000, 0.051962,0.107246, 0.089990,244,-0.052992, 0.084805,
462641,-0.030000, 0.051962,0.107246, 0.089990,245,-0.054464, 0.083867,
462641,-0.030000, 0.051962,0.107246, 0.089990,246,-0.055919, 0.082904,
462641,-0.030000, 0.051962,0.107246, 0.089990,247,-0.057358, 0.081915,
462641,-0.030000, 0.051962,0.107246, 0.089990,248,-0.058779, 0.080902,
462641,-0.030000, 0.051962,0.107246, 0.089990,249,-0.060182, 0.079864,
462641,-0.030000, 0.051962,0.107246, 0.089990,250,-0.061566, 0.078801,
462641,-0.030000, 0.051962,0.107246, 0.089990,251,-0.062932, 0.077715,
462641,-0.030000, 0.051962,0.107246, 0.089990,363,-0.019101, 0.108329,
462641,-0.030000, 0.051962,0.107246, 0.089990,364,-0.020989, 0.107979,
462641,-0.030000, 0.051962,0.107246, 0.089990,365,-0.022870, 0.107596,
462641,-0.030000, 0.051962,0.107246, 0.089990,366,-0.024745, 0.107181,
462641,-0.030000, 0.051962,0.107246, 0.089990,367,-0.026611, 0.106733,
462641,-0.030000, 0.051962,0.107246, 0.089990,368,-0.028470, 0.106252,
462641,-0.030000, 0.051962,0.107246, 0.089990,369,-0.030320, 0.105739,
462641,-0.030000, 0.051962,0.107246, 0.089990,370,-0.032161, 0.105194,
462641,-0.030000, 0.051962,0.107246, 0.089990,371,-0.033992, 0.104616,
462641,-0.030000, 0.051962,0.107246, 0.089990,372,-0.035812, 0.104007,
462641,-0.030000, 0.051962,0.107246, 0.089990,373,-0.037622, 0.103366,
462641,-0.030000, 0.051962,0.107246, 0.089990,374,-0.039420, 0.102694,
462641,-0.030000, 0.051962,0.107246, 0.089990,375,-0.041207, 0.101990,
462641,-0.030000, 0.051962,0.107246, 0.089990,376,-0.042980, 0.101256,
462641,-0.030000, 0.051962,0.107246, 0.089990,377,-0.044741, 0.100490,
462641,-0.030000, 0.051962,0.107246, 0.089990,378,-0.046488, 0.099694,
462641,-0.030000, 0.051962,0.107246, 0.089990,379,-0.048221, 0.098867,
